*******************************************************************************
 Revised: Jul 31, 2013              Venus                               299 / 2
 
 GEOPHYSICAL DATA (updated 2014-Mar-13):
  Mean radius (km)      =   6051.8(4+-1)  Density (g cm^-3)     =  5.204 
  Mass (10^23 kg )      =     48.685      Flattening, f         =  
  Volume (x10^10 km^3)  =     92.843      Semi-major axis       =  
  Sidereal rot. period  =   -243.0185 d   Rot. Rate (x10^5 s)   = -0.029924 
  Mean solar day        =    116.7490 d   Polar gravity ms^-2   =   
  Mom. of Inertia       =      0.33       Equ. gravity  ms^-2   =  8.870 
  Core radius (km)      =  ~3200          Potential Love # k2   = ~0.25 
  Grav spectral fact u  =      1.5        Topo. spectral fact t =  23       
  Fig. offset (Rcf-Rcm) =      0.19+-01   Offset (lat./long.)   = 11/102 dg/dg 
  GM (km^3 s^-2)        = 324858.63       Equatorial Radius, Re = 6051.893 km 
  GM 1-sigma (km^3 s^-2)=    +-0.04       Mass ratio (Sun/Venus)= 408523.72
  
  Atmos. pressure (bar) =    90           Max. angular diam.    =   60.2" 
  Mean Temperature (K)  =  735            Visual mag. V(1,0)    =   -4.40 
  Geometric albedo      =    0.65         Obliquity to orbit    =  177.3 deg 
  Sidereal orb. per.    =    0.61519726 y Orbit vel.  km/s      =   35.0214 
  Sidereal orb. per.    =  224.70079922 d Escape vel. km/s      =   10.361 
  Hill's sphere rad. Rp =  167.1          Planetary Solar Const = 2613.9 (Wm^2) 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 05:56:09 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1950-Nov-11 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Dec-11 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3271276490053130E+11 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2433596.500000000, A.D. 1950-Nov-11 00:00:00.0000,  6.813816027042494E-03,  1.074712900676882E+08,  3.394964106130447E+00,  7.681724116587844E+01,  5.441354049173819E+01,  2.433537260631912E+06,  1.854326872974366E-05,  9.490966748566467E+01,  9.568701787815144E+01,  1.082086035850600E+08,  1.089459171024318E+08,  1.941405289686359E+07,
2433626.500000000, A.D. 1950-Dec-11 00:00:00.0000,  6.812403990268833E-03,  1.074713000335815E+08,  3.394965865948134E+00,  7.681721715627400E+01,  5.439397875260823E+01,  2.433537248392457E+06,  1.854330569557489E-05,  1.429937143910706E+02,  1.434604064110602E+02,  1.082084597767455E+08,  1.089456195199094E+08,  1.941401419520949E+07,
2433657.500000000, A.D. 1951-Jan-11 00:00:00.0000,  6.805983509565243E-03,  1.074726958784496E+08,  3.394956263724613E+00,  7.681704814215661E+01,  5.442243126217475E+01,  2.433761966607443E+06,  1.854312424591825E-05,  1.926313388898058E+02,  1.924621957516272E+02,  1.082091656756217E+08,  1.089456354727938E+08,  1.941420416676785E+07,
2433688.500000000, A.D. 1951-Feb-11 00:00:00.0000,  6.802111582738520E-03,  1.074729809017243E+08,  3.394957150734026E+00,  7.681661412875837E+01,  5.448330441476530E+01,  2.433762004739081E+06,  1.854315891425078E-05,  2.422359310112182E+02,  2.415489416149582E+02,  1.082090308035098E+08,  1.089450807052952E+08,  1.941416786992711E+07,
2433716.500000000, A.D. 1951-Mar-11 00:00:00.0000,  6.801953644936827E-03,  1.074720751994874E+08,  3.394969021615649E+00,  7.681641656526448E+01,  5.455839563497936E+01,  2.433762050800027E+06,  1.854339774175956E-05,  2.870208055557459E+02,  2.862736617921685E+02,  1.082081016911975E+08,  1.089441281829077E+08,  1.941391782743695E+07,
2433747.500000000, A.D. 1951-Apr-11 00:00:00.0000,  6.804359597367702E-03,  1.074717312355399E+08,  3.394970063407217E+00,  7.681639695820185E+01,  5.458473336449671E+01,  2.433762066921953E+06,  1.854341938382294E-05,  3.366615850931648E+02,  3.363502604059763E+02,  1.082080174979139E+08,  1.089443037602880E+08,  1.941389516941303E+07,
2433777.500000000, A.D. 1951-May-11 00:00:00.0000,  6.809039583978250E-03,  1.074717081046725E+08,  3.394965710362769E+00,  7.681628140142439E+01,  5.457931323978875E+01,  2.433762063515476E+06,  1.854329430426256E-05,  2.473141900699755E+01,  2.506039258225976E+01,  1.082085040923604E+08,  1.089453000800484E+08,  1.941402612141288E+07,
2433808.500000000, A.D. 1951-Jun-11 00:00:00.0000,  6.811533971018590E-03,  1.074713781003728E+08,  3.394968342325418E+00,  7.681610957717804E+01,  5.455548103913510E+01,  2.433762048824214E+06,  1.854330985641686E-05,  7.442137835685988E+01,  7.517494897352289E+01,  1.082084435898360E+08,  1.089455090792992E+08,  1.941400983899447E+07,
